pnum,run
02HH13,1
02HH14,1
03UT01,1
03UT02,1
04YG05,2
04YG06,2
04YG07,2
04YG08,2
04YG09,2
04YG10,2
07MM07,3
07MM08,3
07MM09,3
07MM10,3
10SK01,4
10SK02,4
10SK03,4
10SK04,4
10SK26,5
10SK27,5
10SK28,5
10SK29,5
10SK30,5
10SK31,5
12SM43,6
12SM44,6
12SM45,6
12SM46,6
13AK16,7
13AK17,7
13AK18,7
13AK19,7
13AK20,7
13AK21,7
13AK22,7
13AK23,7
18MK04,8
18MK05,8
18MK06,8
18MK07,8
20AG01,9
20AG02,9
20AG03,9
20AG04,9
24KC10,10
24KC11,10
24KC12,10
24KC13,10
25HR01,11
25HR02,11
25HR03,11
25HR04,11
25HR07,12
25HR08,12
26TK01,12
26TK02,12
31MA11,13
31MA12,13
31MA13,13
31MA14,13
34WJ11,14
34WJ12,14
34WJ13,14
34WJ14,14
38SZ01,15
38SZ02,15
38SZ03,15
38SZ04,15
39YR01,16
39YR02,16
39YR03,16
39YR04,16
39YR05,16
39YR06,16
45HS08,17
45HS09,17
45HS10,17
45HS11,17
47AM01,18
47AM02,18
47AM03,18
47AM04,18
47AM05,18
47AM06,18
51UF02,19
51UF03,19
51UF04,19
51UF05,19
51UF08,20
51UF09,20
51UF10,20
51UF11,20
